67	Espinacas	46.68	46.68	49	General	📦	0	/img/Espinacas.jpg	0
68	Fiore Manzanilla	47.53	47.53	71	General	📦	0	/img/Fiore_Manzanilla.jpg	0
69	Fiore SLimite	47.65	47.65	55	General	📦	0	/img/Fiore_SLimite.jpg	0
70	Fiore noche	39.17	39.17	96	General	📦	0	/img/Fiore_noche.jpg	0
71	Frijoes Bayos	30.72	30.72	91	General	📦	0	/img/Frijoes_Bayos.jpg	0
72	Frijol blanco	29.88	29.88	56	General	📦	0	/img/Frijol_blanco.jpg	0
73	Frijoles	39.97	39.97	50	General	📦	0	/img/Frijoles.jpg	0
74	Garbanzos	26.28	26.28	53	General	📦	0	/img/Garbanzos.jpg	0
75	Grasa Zapatos	55.73	55.73	65	General	📦	0	/img/Grasa_Zapatos.jpg	0
76	Guanicion Verduras	19.26	19.26	86	General	📦	0	/img/Guanicion_Verduras.jpg	0
77	Jabon Heno	28.66	28.66	39	General	📦	0	/img/Jabon_Heno.jpg	0
78	Jabon Rosa	48.19	48.19	11	General	📦	0	/img/Jabon_Rosa.jpg	0
79	Jabon calabaza	48.15	48.15	21	General	📦	0	/img/Jabon_calabaza.jpg	0
80	Jabon dove	15.51	15.51	12	General	📦	0	/img/Jabon_dove.jpg	0
81	Jabon lirio	50.85	50.85	67	General	📦	0	/img/Jabon_lirio.jpg	0
82	Jabon neutro	15.25	15.25	84	General	📦	0	/img/Jabon_neutro.jpg	0
83	Jabon nordiko	20.45	20.45	72	General	📦	0	/img/Jabon_nordiko.jpg	0
84	Jabon terso	36.8	36.8	69	General	📦	0	/img/Jabon_terso.jpg	0
85	Jalapeños	15.05	15.05	64	General	📦	0	/img/Jalapeños.jpg	0
86	Jalapeños Picados	33.35	33.35	18	General	📦	0	/img/Jalapeños_Picados.jpg	0
87	Kotex Anatomica	17.21	17.21	28	General	📦	0	/img/Kotex_Anatomica.jpg	0
88	Kotex UDelgada	55.01	55.01	63	General	📦	0	/img/Kotex_UDelgada.jpg	0
89	Kotex largo	21.13	21.13	14	General	📦	0	/img/Kotex_largo.jpg	0
90	Kotex naturals	57.85	57.85	46	General	📦	0	/img/Kotex_naturals.jpg	0
91	Kotex regular	56.96	56.96	55	General	📦	0	/img/Kotex_regular.jpg	0
92	LechePolvo nido	21.59	21.59	60	General	📦	0	/img/LechePolvo_nido.jpg	0
93	Leche Condensada	59.44	59.44	51	General	📦	0	/img/Leche_Condensada.jpg	0
94	Leche Nestle	48.04	48.04	38	General	📦	0	/img/Leche_Nestle.jpg	0
95	Leche alpura	28.54	28.54	13	General	📦	0	/img/Leche_alpura.jpg	0
96	Leche evaporada	22.38	22.38	41	General	📦	0	/img/Leche_evaporada.jpg	0
97	Leche forte	31.85	31.85	36	General	📦	0	/img/Leche_forte.jpg	0
98	Mango Almibar	49.25	49.25	75	General	📦	0	/img/Mango_Almibar.jpg	0
99	Manteca	25.06	25.06	36	General	📦	0	/img/Manteca.jpg	0
100	Medallones espinaca	50.83	50.83	79	General	📦	0	/img/Medallones_espinaca.jpg	0
101	Mezcla California	16.46	16.46	93	General	📦	0	/img/Mezcla_California.jpg	0
102	Mezcla Juliana	51.77	51.77	33	General	📦	0	/img/Mezcla_Juliana.jpg	0
103	Mezcla campesina	40.57	40.57	96	General	📦	0	/img/Mezcla_campesina.jpg	0
104	Monster	15.35	15.35	38	General	📦	0	/img/Monster.jpg	0
105	Naturella Manzanilla	32.49	32.49	72	General	📦	0	/img/Naturella_Manzanilla.jpg	0
106	NutriLeche	39.1	39.1	96	General	📦	0	/img/NutriLeche.jpg	0
107	Palmitos enteros	38.07	38.07	28	General	📦	0	/img/Palmitos_enteros.jpg	0
108	Pasta BuenComer	50.42	50.42	31	General	📦	0	/img/Pasta_BuenComer.jpg	0
109	Pasta Colgate MPA	54.82	54.82	30	General	📦	0	/img/Pasta_Colgate_MPA.jpg	0
110	Pasta colgate	30.46	30.46	100	General	📦	0	/img/Pasta_colgate.jpg	0
111	Pasta luigi	29.79	29.79	96	General	📦	0	/img/Pasta_luigi.jpg	0
112	Pasta panzani	23.66	23.66	36	General	📦	0	/img/Pasta_panzani.jpg	0
113	Peñafiel	35.9	35.9	14	General	📦	0	/img/Peñafiel.jpg	0
114	Peñafiel Limon	27.19	27.19	46	General	📦	0	/img/Peñafiel_Limon.jpg	0
115	Peñafiel Naranja	51.42	51.42	82	General	📦	0	/img/Peñafiel_Naranja.jpg	0
116	Peñafiel Twist	23.41	23.41	39	General	📦	0	/img/Peñafiel_Twist.jpg	0
117	Peñafiel mineral	37.55	37.55	88	General	📦	0	/img/Peñafiel_mineral.jpg	0
118	Piña Almibar	41.96	41.96	74	General	📦	0	/img/Piña_Almibar.jpg	0
119	Piña Trocitos	49.16	49.16	45	General	📦	0	/img/Piña_Trocitos.jpg	0
120	Premier zapatos	41.8	41.8	16	General	📦	0	/img/Premier_zapatos.jpg	0
121	Pure Manzana	16.17	16.17	43	General	📦	0	/img/Pure_Manzana.jpg	0
122	Queso Gallo	24.02	24.02	23	General	📦	0	/img/Queso_Gallo.jpg	0
123	Rajas Rojas	15.77	15.77	45	General	📦	0	/img/Rajas_Rojas.jpg	0
124	Rajas poblanas	26.6	26.6	50	General	📦	0	/img/Rajas_poblanas.jpg	0
125	Rajas verdes	18.56	18.56	37	General	📦	0	/img/Rajas_verdes.jpg	0
126	Refresco Manzana	27.89	27.89	60	General	📦	0	/img/Refresco_Manzana.jpg	0
127	Refresco Manzana Sidral	22.55	22.55	93	General	📦	0	/img/Refresco_Manzana_Sidral.jpg	0
128	Refresco Toronja	44.91	44.91	12	General	📦	0	/img/Refresco_Toronja.jpg	0
129	Saba Invisible	57.11	57.11	14	General	📦	0	/img/Saba_Invisible.jpg	0
130	Saba Manzanilla	17.28	17.28	84	General	📦	0	/img/Saba_Manzanilla.jpg	0
131	Saba Nocturna	57.9	57.9	65	General	📦	0	/img/Saba_Nocturna.jpg	0
132	Saba UInvisible	30.86	30.86	21	General	📦	0	/img/Saba_UInvisible.jpg	0
133	Saba diarios	57.61	57.61	85	General	📦	0	/img/Saba_diarios.jpg	0
134	Saba teens Nocturna	56.17	56.17	95	General	📦	0	/img/Saba_teens_Nocturna.jpg	0
135	Salsa Tomate	34.59	34.59	65	General	📦	0	/img/Salsa_Tomate.jpg	0
136	Sangria Señorial	53.49	53.49	37	General	📦	0	/img/Sangria_Señorial.jpg	0
137	Shampoo Savile	40.92	40.92	33	General	📦	0	/img/Shampoo_Savile.jpg	0
138	Sopa Codos	54.79	54.79	55	General	📦	0	/img/Sopa_Codos.jpg	0
139	Sopa fideos	16.93	16.93	42	General	📦	0	/img/Sopa_fideos.jpg	0
140	Squirt Lata	30.24	30.24	29	General	📦	0	/img/Squirt_Lata.jpg	0
141	Tinta Zapatos	15.6	15.6	56	General	📦	0	/img/Tinta_Zapatos.jpg	0
142	Toallas femenias Steens	23.81	23.81	79	General	📦	0	/img/Toallas_femenias_Steens.jpg	0
143	Tortillas	55.02	55.02	22	General	📦	0	/img/Tortillas.jpg	0
144	Tostadas	24.45	24.45	45	General	📦	0	/img/Tostadas.jpg	0
145	Tostadas ajonjoli	42.97	42.97	56	General	📦	0	/img/Tostadas_ajonjoli.jpg	0
146	Tostadas botaneras	22.21	22.21	17	General	📦	0	/img/Tostadas_botaneras.jpg	0
147	Tostadas sanissimo	41.28	41.28	13	General	📦	0	/img/Tostadas_sanissimo.jpg	0
148	Vinagre Balsamico	26.64	26.64	54	General	📦	0	/img/Vinagre_Balsamico.jpg	0
149	Vinagre Manzana	43.0	43.0	17	General	📦	0	/img/Vinagre_Manzana.jpg	0
150	Zubba	35.98	35.98	15	General	📦	0	/img/Zubba.jpg	0
151	Zucaritas	50.0	50.0	20	General	📦	5		0
152	Gran Malo Tequila	100.0	150.0	30	General	📦	510		1
